Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E2,19/09/2026,12:30,Barnsley,Leicester,S Stockbridge,3.3,3.75,1.96,3.2,4.0,2.05,3.13,3.9,2.05,3.2,3.75,2.05,3.2,3.8,2.0,3.1,4.0,2.0,3.3,4.0,2.1,3.17,3.83,2.04,3.4,4.1,2.1,1.48,2.6,1.5,2.8,1.45,2.61,1.5,2.86,0.5,1.83,2.03,1.83,2.05,1.75,1.98,1.87,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,12:30,Burton,Mansfield,O Mackey,2.5,3.3,2.57,2.5,3.5,2.75,2.55,3.4,2.63,2.5,3.4,2.6,2.45,3.5,2.7,2.4,3.7,2.63,2.55,3.7,2.75,2.5,3.42,2.65,2.64,3.2,2.84,1.93,1.93,1.93,1.93,1.85,1.88,1.85,2.0,0.0,1.88,1.98,1.88,1.98,1.82,1.91,1.91,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Blackpool,Plymouth,D Drysdale,2.57,3.4,2.45,2.63,3.75,2.5,2.63,3.6,2.45,2.65,3.6,2.4,2.7,3.7,2.3,2.63,3.5,2.3,2.7,3.8,2.5,2.63,3.62,2.4,2.86,3.95,2.46,1.62,2.25,1.62,2.25,1.6,2.23,1.65,2.44,0.25,1.68,2.15,1.7,2.15,1.67,2.09,1.84,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Bromley,Huddersfield,C Brook,5.5,3.9,1.53,5.0,4.2,1.62,5.5,4.1,1.57,4.8,4.2,1.6,5.0,4.0,1.6,5.0,3.9,1.6,5.75,4.2,1.62,5.19,4.04,1.58,5.8,4.1,1.63,1.7,2.1,1.7,2.12,1.68,2.09,1.74,2.06,1.0,1.83,2.03,1.83,2.03,1.78,1.96,1.83,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Leyton Orient,Stevenage,C Hicks,2.2,3.3,3.1,2.38,3.3,3.0,2.3,3.25,3.1,2.35,3.25,2.95,2.38,3.3,3.0,2.3,3.2,2.9,2.38,3.3,3.2,2.32,3.23,3.03,2.46,3.35,3.25,2.15,1.67,2.15,1.7,2.11,1.66,2.22,1.76,-0.25,2.03,1.83,2.03,1.83,1.96,1.78,2.1,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Luton,Bradford,R Martin,2.01,3.3,3.5,2.1,3.6,3.3,2.1,3.5,3.3,2.1,3.4,3.25,2.1,3.5,3.3,2.05,3.4,3.25,2.1,3.6,3.5,2.08,3.49,3.3,2.18,3.65,3.45,1.9,1.95,1.9,1.95,1.83,1.91,1.9,2.0,-0.25,1.83,2.03,1.83,2.03,1.79,1.95,1.9,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Oxford,Cambridge,T Kirk,2.05,3.4,3.3,2.15,3.5,3.3,2.15,3.4,3.25,2.1,3.4,3.25,2.1,3.5,3.3,2.05,3.4,3.25,2.15,3.5,3.4,2.11,3.44,3.26,2.22,3.6,3.5,1.93,1.93,1.93,1.93,1.87,1.86,1.94,1.95,-0.25,1.85,2.0,1.85,2.0,1.81,1.93,1.91,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Peterboro,Doncaster,W Davis,2.32,3.6,2.65,2.38,3.75,2.75,2.4,3.7,2.63,2.3,3.7,2.7,2.38,3.75,2.7,2.3,3.6,2.63,2.45,3.75,2.75,2.37,3.63,2.68,2.58,3.95,2.72,1.6,2.3,1.6,2.38,1.57,2.28,1.63,2.48,0.0,1.8,2.05,1.8,2.05,1.77,1.97,1.92,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Reading,Notts County,S Mather,1.76,3.7,4.0,1.83,3.75,4.2,1.8,3.7,4.2,1.83,3.7,3.9,1.8,3.75,4.0,1.8,3.6,3.9,1.85,3.75,4.4,1.81,3.66,4.07,1.88,3.7,4.5,1.83,2.03,1.83,2.03,1.8,1.93,1.96,1.99,-0.5,1.83,2.03,1.83,2.03,1.78,1.95,1.88,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,19/09/2026,15:00,Sheffield Weds,Stockport,B Toner,3.0,3.5,2.15,2.8,3.75,2.3,2.9,3.6,2.25,2.75,3.7,2.3,2.8,3.7,2.25,2.75,3.5,2.25,3.0,3.8,2.3,2.84,3.64,2.25,3.0,3.9,2.36,1.65,2.2,1.67,2.25,1.62,2.2,1.69,2.34,0.25,1.85,2.0,1.85,2.0,1.8,1.93,1.9,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
