Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E3,19/09/2026,12:30,Rochdale,Oldham,S Parkinson,3.8,3.4,1.86,3.6,3.6,2.0,3.75,3.6,1.93,3.5,3.6,1.98,3.7,3.6,1.91,3.6,3.75,1.91,3.8,3.75,2.0,3.63,3.57,1.94,3.9,3.8,2.02,1.8,2.0,1.8,2.05,1.76,1.97,1.81,2.12,0.5,1.88,1.98,1.88,1.98,1.81,1.9,1.94,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,12:30,Walsall,Port Vale,J Oldham,2.4,3.25,2.75,2.5,3.4,2.8,2.45,3.4,2.8,2.4,3.3,2.8,2.4,3.3,2.8,2.38,3.5,2.75,2.5,3.5,2.88,2.44,3.31,2.79,2.56,3.3,2.96,1.98,1.88,1.98,1.88,1.92,1.81,2.02,1.87,0.0,1.8,2.05,1.8,2.05,1.76,1.99,1.82,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Accrington,Newport County,J Robinson,2.01,3.3,3.5,2.05,3.6,3.5,2.05,3.5,3.4,2.05,3.5,3.4,2.0,3.6,3.4,1.95,3.5,3.3,2.05,3.6,3.5,2.02,3.48,3.43,2.16,3.55,3.35,1.9,1.95,1.9,1.95,1.82,1.9,1.81,2.02,-0.25,1.8,2.05,1.8,2.05,1.74,2.0,1.86,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Barnet,Fleetwood Town,S Jackson,1.66,3.8,4.5,1.67,4.0,5.0,1.67,3.9,4.75,1.7,3.9,4.33,1.62,4.0,4.75,1.62,3.9,4.6,1.7,4.0,5.0,1.66,3.94,4.59,1.72,3.85,4.7,1.7,2.1,1.7,2.2,1.65,2.13,1.64,2.26,-0.75,1.9,1.95,1.9,1.95,1.83,1.9,1.89,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Chesterfield,York,B Speedie,2.4,3.3,2.7,2.4,3.6,2.75,2.38,3.6,2.75,2.35,3.6,2.65,2.38,3.6,2.7,2.3,3.5,2.63,2.42,3.6,2.8,2.37,3.52,2.72,2.48,3.65,2.86,1.7,2.1,1.7,2.15,1.66,2.11,1.66,2.26,0.0,1.78,2.1,1.78,2.1,1.74,2.02,1.81,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Colchester,Cheltenham,A Young,1.86,3.5,3.8,1.91,3.75,3.75,1.91,3.6,3.75,1.93,3.6,3.6,1.91,3.75,3.75,1.91,3.6,3.6,1.95,3.75,3.8,1.91,3.6,3.69,2.0,3.55,3.7,1.75,2.05,1.77,2.1,1.73,2.02,1.73,2.16,-0.5,1.93,1.93,1.93,1.93,1.88,1.84,2.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Crewe,Shrewsbury,A Chilowicz,1.91,3.3,3.8,1.95,3.5,4.0,1.95,3.5,3.75,1.98,3.4,3.6,1.95,3.5,3.8,1.91,3.4,3.6,1.98,3.6,4.0,1.94,3.45,3.72,1.93,3.15,3.75,2.03,1.83,2.03,1.88,1.92,1.8,1.96,1.92,-0.5,2.0,1.85,2.0,1.85,1.91,1.8,1.93,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Exeter,Tranmere,I Searle,2.15,3.4,3.1,2.25,3.5,3.1,2.25,3.3,3.13,2.25,3.3,3.0,2.2,3.4,3.0,2.2,3.3,3.0,2.26,3.5,3.13,2.24,3.36,3.04,2.32,3.6,3.25,2.03,1.83,2.03,1.83,1.94,1.79,1.92,1.9,-0.25,1.93,1.93,1.93,1.93,1.91,1.83,2.0,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Gillingham,Bristol Rvs,S Gill,3.8,3.4,1.91,3.6,3.6,2.0,3.7,3.5,1.95,3.6,3.6,1.93,3.6,3.6,1.95,3.5,3.5,1.91,3.8,3.8,2.0,3.6,3.54,1.94,3.85,3.75,2.06,1.88,1.98,1.88,1.98,1.81,1.92,1.88,2.0,0.5,1.85,2.0,1.85,2.0,1.81,1.9,1.9,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,19/09/2026,15:00,Grimsby,Crawley Town,E Heaslip,1.45,4.33,6.25,1.44,4.6,6.5,1.44,4.6,6.5,1.47,4.6,5.75,1.4,4.75,6.5,1.4,4.6,6.0,1.48,4.75,6.5,1.44,4.57,6.14,1.48,4.9,6.8,1.53,2.4,1.53,2.63,1.48,2.49,1.46,2.54,-1.25,2.03,1.83,2.03,1.83,1.94,1.79,1.91,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
