date,home_team,away_team,home_xg,away_xg,home_goals,away_goals
2026-07-31T19:00:00Z,Dundee United,Rangers,1.64,1.46,1,1
2026-08-01T14:00:00Z,Falkirk,St. Mirren,0.55,1.57,0,2
2026-08-01T16:30:00Z,Aberdeen,Hearts,2.66,1.83,2,1
2026-08-02T13:00:00Z,St. Johnstone,Kilmarnock,2.03,0.92,4,3
2026-08-02T15:30:00Z,Hibernian,Motherwell,1.94,2.19,1,2
2026-08-03T18:30:00Z,Celtic,Dundee FC,2.25,0.49,1,0
2026-08-08T14:00:00Z,Dundee FC,Aberdeen,1.83,0.71,2,0
2026-08-08T14:00:00Z,St. Mirren,St. Johnstone,1.58,1.17,1,0
2026-08-09T12:30:00Z,Kilmarnock,Celtic,0.98,5.44,1,5
2026-08-09T14:00:00Z,Hearts,Dundee United,2.15,0.58,4,0
2026-08-09T14:00:00Z,Motherwell,Falkirk,1.27,0.55,0,0
2026-08-09T15:00:00Z,Rangers,Hibernian,2.22,1.7,1,2
2026-08-22T16:45:00Z,Dundee United,Dundee FC,1.19,1.43,0,2
2026-08-29T14:00:00Z,Celtic,Falkirk,3.45,0.57,2,1
2026-08-29T14:00:00Z,Hearts,St. Johnstone,2.2,1.28,2,1
2026-08-29T14:00:00Z,Kilmarnock,Dundee United,1.13,3.42,0,4
2026-08-30T11:00:00Z,Aberdeen,Rangers,0.35,2.1,0,1
2026-08-30T14:00:00Z,Dundee FC,Hibernian,1.01,2.33,1,2
2026-08-30T14:00:00Z,St. Mirren,Motherwell,2.92,2.45,3,3
2026-09-02T18:45:00Z,Celtic,Aberdeen,2.67,0.68,3,0
2026-09-02T18:45:00Z,Dundee FC,St. Johnstone,2.04,1.07,1,1
2026-09-02T18:45:00Z,Kilmarnock,St. Mirren,0.41,0.85,0,1
2026-09-02T18:45:00Z,Motherwell,Dundee United,2.37,0.16,3,0
2026-09-02T19:00:00Z,Falkirk,Rangers,1.0,1.56,1,2
2026-09-03T18:45:00Z,Hibernian,Hearts,1.47,0.86,1,3
2026-09-05T14:00:00Z,Rangers,Motherwell,4.28,0.7,1,0
2026-09-05T14:00:00Z,Aberdeen,Kilmarnock,1.08,1.11,0,0
2026-09-05T14:00:00Z,Dundee United,Falkirk,2.65,1.22,1,1
2026-09-05T19:00:00Z,St. Mirren,Celtic,1.95,3.19,1,2
2026-09-06T14:00:00Z,Hearts,Dundee FC,1.92,0.42,2,1
2026-09-06T14:00:00Z,St. Johnstone,Hibernian,2.32,1.61,2,1
2026-09-09T18:45:00Z,Rangers,St. Mirren,2.46,1.26,1,0
2026-09-09T19:00:00Z,St. Johnstone,Celtic,0.69,1.8,0,1
2026-09-15T18:45:00Z,Hibernian,Kilmarnock,1.45,2.21,0,1
2026-09-15T18:45:00Z,Falkirk,Hearts,2.09,1.79,2,1
2026-09-15T18:45:00Z,Motherwell,Aberdeen,0.85,0.9,0,4
