date,home_team,away_team,xg_pre_market_home,xg_pre_market_away,xg_pre_market_total,used_ou_line,market_p_home_win,market_p_draw,market_p_away_win
2026-08-14,Wolves,Blackburn,1.903,0.827,2.73,True,0.617,0.236,0.147
2026-08-15,Bolton,Preston,1.471,1.145,2.616,True,0.434,0.283,0.283
2026-08-15,Bristol City,Millwall,1.347,1.301,2.648,True,0.373,0.274,0.352
2026-08-15,Charlton,Derby,1.225,1.225,2.45,True,0.354,0.293,0.354
2026-08-15,Middlesbrough,Lincoln,2.266,0.733,2.999,True,0.715,0.169,0.116
2026-08-15,Norwich,West Brom,1.598,1.064,2.662,True,0.488,0.266,0.245
2026-08-15,Portsmouth,QPR,1.426,1.2,2.626,True,0.415,0.274,0.311
2026-08-15,Stoke,Swansea,1.348,1.134,2.482,True,0.404,0.293,0.303
2026-08-15,Sheffield United,Birmingham,1.339,1.25,2.589,True,0.38,0.282,0.338
2026-08-16,Watford,Southampton,1.232,1.639,2.871,True,0.275,0.268,0.457
2026-08-16,Burnley,West Ham,1.351,1.547,2.898,True,0.325,0.264,0.411
2026-08-17,Cardiff,Wrexham,1.519,1.352,2.871,True,0.404,0.266,0.33
2026-08-22,Birmingham,Bristol City,1.763,1.019,2.782,True,0.54,0.246,0.213
2026-08-22,Lincoln,Portsmouth,1.383,1.259,2.642,True,0.393,0.272,0.336
2026-08-22,Millwall,Norwich,1.47,1.182,2.652,True,0.43,0.272,0.298
2026-08-22,Blackburn,Middlesbrough,1.08,1.506,2.586,True,0.265,0.273,0.462
2026-08-22,Derby,Cardiff,1.564,1.041,2.605,True,0.487,0.266,0.248
2026-08-22,Preston,Wolves,1.077,1.719,2.797,True,0.22,0.271,0.509
2026-08-22,QPR,Bolton,1.624,1.065,2.689,True,0.497,0.257,0.246
2026-08-22,Southampton,Stoke,1.946,0.999,2.945,True,0.586,0.23,0.184
2026-08-22,Swansea,Sheffield United,1.442,1.287,2.729,True,0.399,0.272,0.328
2026-08-22,West Ham,Charlton,2.185,0.764,2.949,True,0.691,0.194,0.115
2026-08-22,Wrexham,Watford,1.656,1.063,2.72,True,0.501,0.266,0.233
2026-08-23,West Brom,Burnley,1.23,1.305,2.535,True,0.342,0.28,0.377
2026-08-28,Wrexham,Birmingham,1.453,1.123,2.576,True,0.438,0.277,0.285
2026-08-29,Derby,Swansea,1.39,1.109,2.499,True,0.423,0.286,0.291
2026-08-29,Middlesbrough,West Brom,1.762,0.993,2.755,True,0.546,0.246,0.208
2026-08-29,Wolves,Stoke,2.047,0.856,2.904,True,0.642,0.215,0.143
2026-08-29,Blackburn,QPR,1.306,1.261,2.568,True,0.37,0.28,0.349
2026-08-29,Bolton,Lincoln,1.322,1.234,2.557,True,0.378,0.285,0.337
2026-08-29,Bristol City,Portsmouth,1.442,1.094,2.536,True,0.444,0.274,0.282
2026-08-29,Cardiff,Sheffield United,1.436,1.453,2.889,True,0.364,0.265,0.371
2026-08-29,Charlton,Preston,1.445,1.029,2.474,True,0.456,0.284,0.26
2026-08-29,Norwich,Burnley,1.535,1.279,2.815,True,0.427,0.261,0.313
2026-08-29,Southampton,Millwall,1.647,1.135,2.782,True,0.485,0.257,0.257
2026-08-29,Watford,West Ham,1.189,1.843,3.032,True,0.238,0.244,0.518
2026-09-01,Lincoln,Blackburn,1.476,1.207,2.683,True,0.424,0.275,0.301
2026-09-01,Portsmouth,Derby,1.58,1.003,2.584,True,0.497,0.272,0.231
2026-09-01,Preston,Bristol City,1.267,1.422,2.689,True,0.328,0.272,0.399
2026-09-01,Sheffield United,Bolton,1.899,0.946,2.845,True,0.588,0.237,0.176
2026-09-01,Swansea,Watford,1.699,1.018,2.717,True,0.524,0.256,0.22
2026-09-01,West Ham,Wolves,1.698,1.265,2.963,True,0.465,0.26,0.275
2026-09-01,Birmingham,Southampton,1.416,1.394,2.81,True,0.366,0.277,0.356
2026-09-01,Stoke,Norwich,1.186,1.613,2.799,True,0.275,0.26,0.465
2026-09-02,Millwall,Wrexham,1.462,1.168,2.63,True,0.425,0.288,0.288
2026-09-02,QPR,Cardiff,1.742,1.172,2.914,True,0.497,0.257,0.246
2026-09-02,West Brom,Charlton,1.637,0.885,2.523,True,0.541,0.264,0.195
2026-09-02,Burnley,Middlesbrough,1.337,1.494,2.831,True,0.328,0.272,0.399
2026-09-05,Lincoln,Southampton,1.104,1.816,2.92,True,0.223,0.246,0.531
2026-09-05,Preston,Blackburn,1.394,1.192,2.586,True,0.404,0.286,0.31
2026-09-05,Stoke,Charlton,1.44,1.043,2.483,True,0.451,0.285,0.264
2026-09-05,Burnley,Bristol City,1.697,1.068,2.765,True,0.511,0.257,0.231
2026-09-05,Millwall,Bolton,1.562,0.988,2.55,True,0.497,0.272,0.231
2026-09-05,Portsmouth,Cardiff,1.521,1.355,2.875,True,0.401,0.273,0.326
2026-09-05,QPR,Middlesbrough,1.259,1.575,2.834,True,0.292,0.274,0.434
2026-09-05,Sheffield United,Norwich,1.394,1.388,2.781,True,0.362,0.279,0.359
2026-09-05,West Brom,Watford,1.665,1.04,2.704,True,0.511,0.257,0.231
2026-09-05,West Ham,Derby,2.183,0.761,2.944,True,0.693,0.184,0.123
2026-09-05,Swansea,Wrexham,1.465,1.142,2.607,True,0.432,0.286,0.282
2026-09-06,Birmingham,Wolves,1.18,1.326,2.506,True,0.324,0.284,0.393
2026-09-08,Blackburn,Sheffield United,1.254,1.481,2.735,True,0.311,0.274,0.415
2026-09-08,Cardiff,Stoke,1.765,1.284,3.05,True,0.475,0.259,0.266
2026-09-08,Southampton,Swansea,1.77,1.093,2.863,True,0.525,0.243,0.231
2026-09-08,Watford,Preston,1.542,1.148,2.69,True,0.453,0.273,0.273
2026-09-08,Wrexham,Burnley,1.585,1.135,2.72,True,0.465,0.275,0.26
2026-09-08,Bolton,West Ham,1.083,2.054,3.137,True,0.183,0.229,0.588
2026-09-09,Derby,West Brom,1.226,1.429,2.654,True,0.31,0.286,0.404
2026-09-09,Norwich,Birmingham,1.709,1.126,2.835,True,0.498,0.265,0.237
2026-09-09,Charlton,QPR,1.169,1.453,2.622,True,0.291,0.286,0.423
2026-09-11,West Ham,Wrexham,1.997,1.011,3.007,True,0.593,0.231,0.176
2026-09-12,Bolton,Cardiff,1.513,1.536,3.048,True,0.359,0.272,0.369
2026-09-12,Derby,Birmingham,1.075,1.436,2.511,True,0.274,0.282,0.444
2026-09-12,West Brom,QPR,1.599,1.154,2.753,True,0.461,0.281,0.258
2026-09-12,Blackburn,Millwall,1.328,1.366,2.694,True,0.346,0.292,0.363
2026-09-12,Charlton,Portsmouth,1.199,1.234,2.433,True,0.342,0.298,0.36
2026-09-12,Middlesbrough,Norwich,1.904,1.252,3.155,True,0.518,0.238,0.244
2026-09-12,Preston,Lincoln,1.487,1.259,2.745,True,0.415,0.274,0.311
2026-09-12,Southampton,Bristol City,2.005,1.099,3.104,True,0.574,0.231,0.195
2026-09-12,Swansea,Burnley,1.54,1.186,2.726,True,0.444,0.274,0.282
2026-09-12,Watford,Stoke,1.459,1.213,2.672,True,0.415,0.283,0.301
2026-09-13,Sheffield United,Wolves,1.269,1.612,2.881,True,0.291,0.266,0.443
