date,home_team,away_team,xg_pre_market_home,xg_pre_market_away,xg_pre_market_total,used_ou_line,market_p_home_win,market_p_draw,market_p_away_win
2026-09-19,Barnsley,Leicester,1.424,1.882,3.306,True,0.281,0.247,0.472
2026-09-19,Burton,Mansfield,1.36,1.338,2.699,True,0.366,0.277,0.356
2026-09-19,Blackpool,Plymouth,1.488,1.528,3.016,True,0.357,0.269,0.374
2026-09-19,Bromley,Huddersfield,0.947,1.955,2.902,True,0.167,0.235,0.599
2026-09-19,Leyton Orient,Stevenage,1.361,1.101,2.461,True,0.421,0.281,0.299
2026-09-19,Luton,Bradford,1.568,1.143,2.711,True,0.458,0.279,0.263
2026-09-19,Oxford,Cambridge,1.526,1.153,2.679,True,0.45,0.271,0.279
2026-09-19,Peterboro,Doncaster,1.596,1.482,3.078,True,0.397,0.256,0.347
2026-09-19,Reading,Notts County,1.714,1.051,2.765,True,0.522,0.248,0.23
2026-09-19,Sheffield Weds,Stockport,1.359,1.636,2.995,True,0.307,0.264,0.429
2026-09-19,Wigan,Wycombe,1.439,1.417,2.856,True,0.366,0.277,0.356
