date,home_team,away_team,xg_pre_market_home,xg_pre_market_away,xg_pre_market_total,used_ou_line,market_p_home_win,market_p_draw,market_p_away_win
2026-09-19,Rochdale,Oldham,1.114,1.671,2.785,True,0.24,0.269,0.491
2026-09-19,Walsall,Port Vale,1.363,1.258,2.621,True,0.383,0.283,0.334
2026-09-19,Accrington,Newport County,1.568,1.143,2.711,True,0.458,0.279,0.263
2026-09-19,Barnet,Fleetwood Town,1.879,1.067,2.946,True,0.554,0.242,0.204
2026-09-19,Chesterfield,York,1.503,1.409,2.912,True,0.382,0.278,0.34
2026-09-19,Colchester,Cheltenham,1.7,1.133,2.834,True,0.495,0.263,0.242
2026-09-19,Crewe,Shrewsbury,1.562,1.046,2.608,True,0.48,0.278,0.241
2026-09-19,Exeter,Tranmere,1.45,1.163,2.613,True,0.43,0.272,0.298
2026-09-19,Gillingham,Bristol Rvs,1.1,1.63,2.731,True,0.243,0.272,0.484
2026-09-19,Grimsby,Crawley Town,2.22,1.009,3.229,True,0.638,0.214,0.148
2026-09-19,Northampton,Rotherham,1.361,1.183,2.544,True,0.407,0.269,0.324
2026-09-19,Salford,Swindon,2.085,1.057,3.142,True,0.601,0.224,0.175
