date,home_team,away_team,xg_pre_market_home,xg_pre_market_away,xg_pre_market_total,used_ou_line,market_p_home_win,market_p_draw,market_p_away_win
2026-09-18,Brentford,Chelsea,1.625,1.66,3.285,True,0.369,0.247,0.384
2026-09-19,Tottenham,Aston Villa,1.631,1.15,2.781,True,0.473,0.271,0.256
2026-09-19,Brighton,Arsenal,1.0,1.87,2.87,True,0.19,0.243,0.567
2026-09-19,Everton,Ipswich,1.822,1.065,2.886,True,0.541,0.249,0.21
2026-09-19,Newcastle,Hull,2.02,1.048,3.068,True,0.592,0.219,0.189
2026-09-19,Nott'm Forest,Coventry,1.914,0.906,2.82,True,0.6,0.236,0.164
2026-09-20,Bournemouth,Liverpool,1.427,1.794,3.221,True,0.297,0.25,0.453
2026-09-20,Leeds,Crystal Palace,1.826,1.02,2.846,True,0.553,0.245,0.201
2026-09-20,Man City,Sunderland,2.355,0.755,3.11,True,0.724,0.171,0.105
2026-09-20,Fulham,Man United,1.321,1.798,3.119,True,0.272,0.251,0.477
