date,home_team,away_team,xg_pre_market_home,xg_pre_market_away,xg_pre_market_total,used_ou_line,market_p_home_win,market_p_draw,market_p_away_win
2026-07-31,Dundee United,Rangers,1.05,2.214,3.265,True,0.16,0.212,0.628
2026-08-01,Falkirk,St Mirren,1.643,1.172,2.814,True,0.475,0.259,0.266
2026-08-01,Aberdeen,Hearts,1.272,1.588,2.86,True,0.292,0.274,0.434
2026-08-02,St Johnstone,Kilmarnock,1.551,1.237,2.789,True,0.434,0.274,0.292
2026-08-02,Hibernian,Motherwell,1.518,1.246,2.764,True,0.424,0.275,0.301
2026-08-03,Celtic,Dundee,2.831,0.807,3.637,True,0.786,0.123,0.092
2026-08-08,Dundee,Aberdeen,1.345,1.409,2.754,True,0.352,0.267,0.381
2026-08-08,St Mirren,St Johnstone,1.475,1.228,2.702,True,0.415,0.283,0.301
2026-08-09,Kilmarnock,Celtic,0.98,2.398,3.378,True,0.133,0.186,0.68
2026-08-09,Hearts,Dundee United,1.924,0.979,2.903,True,0.591,0.214,0.195
2026-08-09,Motherwell,Falkirk,1.776,1.102,2.877,True,0.522,0.249,0.228
2026-08-09,Rangers,Hibernian,2.126,1.02,3.146,True,0.619,0.213,0.168
2026-08-22,Dundee United,Dundee,1.538,1.225,2.763,True,0.434,0.274,0.292
2026-08-29,Celtic,Falkirk,2.777,0.822,3.599,True,0.774,0.142,0.084
2026-08-29,Hearts,St Johnstone,1.818,1.03,2.848,True,0.549,0.246,0.205
2026-08-29,Kilmarnock,Dundee United,1.464,1.351,2.815,True,0.39,0.27,0.34
2026-08-30,Aberdeen,Rangers,1.137,1.875,3.012,True,0.217,0.248,0.535
2026-08-30,Dundee,Hibernian,1.216,1.508,2.724,True,0.294,0.277,0.428
2026-08-30,St Mirren,Motherwell,1.346,1.27,2.616,True,0.377,0.28,0.342
2026-09-02,Celtic,Aberdeen,2.739,0.796,3.535,True,0.774,0.142,0.084
2026-09-02,Dundee,St Johnstone,1.374,1.374,2.749,True,0.366,0.267,0.366
2026-09-02,Kilmarnock,St Mirren,1.33,1.439,2.769,True,0.338,0.274,0.388
2026-09-02,Motherwell,Dundee United,1.723,1.194,2.917,True,0.49,0.25,0.26
2026-09-02,Falkirk,Rangers,1.047,2.046,3.093,True,0.187,0.215,0.598
2026-09-03,Hibernian,Hearts,1.406,1.342,2.749,True,0.381,0.267,0.352
2026-09-05,Aberdeen,Kilmarnock,1.879,1.082,2.962,True,0.549,0.246,0.205
2026-09-05,Dundee United,Falkirk,1.735,1.157,2.892,True,0.498,0.258,0.244
2026-09-05,Rangers,Motherwell,2.16,0.89,3.05,True,0.655,0.213,0.132
2026-09-05,St Mirren,Celtic,1.033,2.249,3.282,True,0.148,0.214,0.638
2026-09-06,Hearts,Dundee,2.118,0.96,3.078,True,0.629,0.224,0.147
2026-09-06,St Johnstone,Hibernian,1.309,1.398,2.707,True,0.337,0.285,0.378
2026-09-09,Rangers,St Mirren,2.49,0.898,3.388,True,0.715,0.169,0.116
2026-09-09,St Johnstone,Celtic,1.053,2.238,3.291,True,0.169,0.195,0.636
2026-09-15,Falkirk,Hearts,1.152,1.73,2.882,True,0.244,0.258,0.498
2026-09-15,Hibernian,Kilmarnock,2.296,0.971,3.267,True,0.664,0.194,0.142
2026-09-15,Motherwell,Aberdeen,1.78,1.132,2.912,True,0.518,0.244,0.238
