date,team,opponent,venue,xg_pre_market_for,xg_pre_market_against,xg_actual_for,xg_actual_against,goals_for,goals_against,xg_delta_for,xg_delta_against,xg_delta_for_rolling,xg_delta_against_rolling,opponent_avg_xg_delta_for,opponent_avg_xg_delta_against,xg_delta_for_adj,xg_delta_against_adj,xg_delta_for_adj_rolling,xg_delta_against_adj_rolling,xpts_actual,xpts_market,xpts_delta,xpts_actual_cumulative,xpts_market_cumulative
2026-08-15,Birmingham,Sheffield United,away,1.25,1.339,0.77,0.29,0,0,-0.48,-1.049,-0.48,-1.049,-0.29216666666666663,0.47366666666666674,-0.9536666666666667,-0.7568333333333332,-0.9536666666666667,-0.7568333333333332,1.755,1.305,0.45,1.755,1.305
2026-08-22,Birmingham,Bristol City,home,1.763,1.019,1.5,1.51,2,2,-0.2629999999999999,0.4910000000000001,-0.37149999999999994,-0.2789999999999999,-0.03159999999999992,0.25720000000000004,-0.5202,0.5226000000000001,-0.7369333333333333,-0.11711666666666659,1.372,1.879,-0.507,3.127,3.184
2026-08-28,Birmingham,Wrexham,away,1.123,1.453,1.52,1.37,2,1,0.397,-0.08299999999999996,-0.11533333333333329,-0.2136666666666666,-0.2073333333333333,-0.29183333333333333,0.6888333333333334,0.12433333333333332,-0.26167777777777773,-0.03663333333333329,1.477,1.138,0.339,4.604,4.322
2026-09-01,Birmingham,Southampton,home,1.416,1.394,1.55,1.02,1,1,0.13400000000000012,-0.3739999999999999,-0.052999999999999936,-0.2537499999999999,0.10783333333333334,0.30300000000000005,-0.16899999999999993,-0.4818333333333332,-0.2385083333333333,-0.14793333333333328,1.743,1.389,0.354,6.347,5.711
2026-09-06,Birmingham,Wolverhampton Wanderers,home,1.18,1.326,1.39,2.47,2,2,0.20999999999999996,1.1440000000000001,-0.00039999999999995595,0.02580000000000009,0.028799999999999982,-0.15940000000000001,0.36939999999999995,1.1152000000000002,-0.11692666666666665,0.10469333333333342,0.796,1.261,-0.465,7.143,6.972
2026-09-09,Birmingham,Norwich,away,1.126,1.709,1.63,1.01,1,2,0.504,-0.6990000000000001,0.08366666666666671,-0.09499999999999993,0.6586666666666666,0.22883333333333336,0.27516666666666667,-1.3576666666666668,-0.05157777777777776,-0.1390333333333333,1.802,0.991,0.811,8.945,7.963
2026-09-12,Birmingham,Derby,away,1.436,1.075,3.17,1.11,2,1,1.734,0.03500000000000014,0.4526666666666667,0.08566666666666674,-0.28983333333333333,0.4455,1.2885,0.3248333333333335,0.32211666666666666,0.0412444444444445,2.454,1.624,0.83,11.399,9.587
2026-08-14,Blackburn,Wolverhampton Wanderers,away,0.827,1.903,0.84,1.97,2,2,0.013000000000000012,0.06699999999999995,0.013000000000000012,0.06699999999999995,0.24420000000000003,-0.12000000000000002,0.13300000000000003,-0.17720000000000008,0.13300000000000003,-0.17720000000000008,0.666,0.686,-0.02,0.666,0.686
2026-08-22,Blackburn,Middlesbrough,home,1.08,1.506,0.91,1.43,2,1,-0.17000000000000004,-0.07600000000000007,-0.07850000000000001,-0.0045000000000000595,0.33179999999999993,-0.04279999999999995,-0.1272000000000001,-0.4078,0.002899999999999972,-0.29250000000000004,0.988,1.073,-0.085,1.654,1.759
2026-08-29,Blackburn,Queens Park Rangers,home,1.306,1.261,0.92,1.34,1,2,-0.386,0.07900000000000018,-0.18100000000000002,0.023333333333333355,0.1596666666666667,-0.14100000000000004,-0.24499999999999997,-0.08066666666666653,-0.07973333333333334,-0.22188888888888889,1.05,1.399,-0.349,2.704,3.158
2026-09-01,Blackburn,Lincoln,away,1.207,1.476,0.24,1.46,0,0,-0.9670000000000001,-0.016000000000000014,-0.37750000000000006,0.013500000000000012,0.21539999999999998,-0.31400000000000006,-0.653,-0.2314,-0.22305000000000003,-0.22426666666666664,0.428,1.186,-0.758,3.132,4.344
2026-09-05,Blackburn,Preston North End,away,1.192,1.394,1.09,2.19,1,2,-0.10199999999999987,0.796,-0.3224,0.17,0.13950000000000007,-0.26133333333333336,0.1593333333333335,0.6565,-0.1465733333333333,-0.04811333333333332,0.734,1.226,-0.492,3.866,5.57
2026-09-08,Blackburn,Sheffield United,home,1.254,1.481,1.62,0.66,1,2,0.3660000000000001,-0.8210000000000001,-0.20766666666666667,0.004833333333333338,-0.33016666666666655,0.3326666666666667,0.03333333333333338,-0.4908333333333335,-0.11658888888888887,-0.12190000000000001,2.062,1.217,0.845,5.928,6.787
2026-09-12,Blackburn,Millwall,home,1.328,1.366,1.23,1.63,3,1,-0.09800000000000009,0.2639999999999998,-0.22616666666666663,0.03766666666666665,0.682,0.17160000000000003,-0.2696000000000001,-0.41800000000000026,-0.1836888888888889,-0.1620333333333334,1.11,1.344,-0.234,7.038,8.131
2026-08-15,Bolton Wanderers,Preston North End,home,1.471,1.145,1.1,1.12,2,1,-0.371,-0.02499999999999991,-0.371,-0.02499999999999991,0.2763333333333334,-0.2165,-0.1545,-0.3013333333333333,-0.1545,-0.3013333333333333,1.34,1.598,-0.258,1.34,1.598
