date,team,opponent,venue,xg_pre_market_for,xg_pre_market_against,xg_actual_for,xg_actual_against,goals_for,goals_against,xg_delta_for,xg_delta_against,xg_delta_for_rolling,xg_delta_against_rolling,opponent_avg_xg_delta_for,opponent_avg_xg_delta_against,xg_delta_for_adj,xg_delta_against_adj,xg_delta_for_adj_rolling,xg_delta_against_adj_rolling,xpts_actual,xpts_market,xpts_delta,xpts_actual_cumulative,xpts_market_cumulative
2026-08-15,Accrington Stanley,Colchester United,home,1.33,1.185,2.78,0.74,2,2,1.4499999999999997,-0.44500000000000006,1.4499999999999997,-0.44500000000000006,0.06320000000000008,-0.020399999999999884,1.4703999999999997,-0.5082000000000001,1.4703999999999997,-0.5082000000000001,2.521,1.469,1.052,2.521,1.469
2026-08-22,Accrington Stanley,Exeter,away,1.062,1.58,0.68,2.31,0,2,-0.382,0.73,0.5339999999999998,0.14249999999999996,-0.17279999999999995,-0.4316,0.04959999999999998,0.9027999999999999,0.7599999999999998,0.19729999999999992,0.444,1.017,-0.573,2.965,2.486
2026-08-29,Accrington Stanley,Walsall,away,0.968,1.581,2.29,2.22,2,3,1.322,0.6390000000000002,0.7966666666666665,0.30800000000000005,0.2986000000000001,-0.18059999999999998,1.5026000000000002,0.34040000000000015,1.0075333333333332,0.245,1.441,0.946,0.495,4.406,3.432
2026-09-01,Accrington Stanley,Grimsby Town,home,1.091,1.617,2.6,2.19,2,2,1.5090000000000001,0.573,0.97475,0.37425,0.09239999999999995,-0.1492,1.6582000000000001,0.4806,1.1702,0.3039,1.624,1.017,0.607,6.03,4.449
2026-09-05,Accrington Stanley,Crawley Town,home,1.66,1.171,2.07,1.49,3,2,0.4099999999999999,0.31899999999999995,0.8617999999999999,0.3632,0.36240000000000006,-0.09279999999999995,0.5027999999999999,-0.043400000000000105,1.03672,0.23443999999999998,1.744,1.706,0.038,7.774,6.155
2026-09-12,Accrington Stanley,Barnet,away,1.039,2.019,0.69,2.41,1,2,-0.349,0.391,0.66,0.3678333333333333,0.06800000000000002,0.3438,-0.6928,0.323,0.7484666666666667,0.24919999999999998,0.42,0.777,-0.357,8.194,6.932
2026-08-15,Barnet,Salford City,home,1.418,1.177,1.62,0.92,3,1,0.20200000000000018,-0.257,0.20200000000000018,-0.257,-0.5478,0.22860000000000005,-0.026599999999999874,0.29079999999999995,-0.026599999999999874,0.29079999999999995,1.863,1.538,0.325,1.863,1.538
2026-08-22,Barnet,Shrewsbury Town,away,1.603,1.024,1.07,1.78,3,1,-0.5329999999999999,0.756,-0.16549999999999987,0.2495,-0.10279999999999997,-0.5962000000000001,0.06320000000000014,0.8588,0.018300000000000136,0.5748,0.914,1.775,-0.861,2.777,3.313
2026-08-29,Barnet,Cheltenham Town,home,1.857,0.921,2.15,1.78,2,2,0.2929999999999999,0.859,-0.012666666666666604,0.4526666666666667,0.04480000000000004,0.17119999999999996,0.12179999999999996,0.8141999999999999,0.052800000000000076,0.6546,1.612,2.005,-0.393,4.389,5.318
2026-09-01,Barnet,Exeter,away,1.758,1.177,1.02,1.05,1,1,-0.738,-0.127,-0.19399999999999995,0.30774999999999997,-0.0013999999999999568,-0.3604,-0.3776,-0.12560000000000004,-0.05479999999999994,0.45954999999999996,1.326,1.765,-0.439,5.715,7.083
2026-09-05,Barnet,Chesterfield,away,1.244,1.592,2.36,2.08,3,3,1.1159999999999999,0.488,0.06800000000000002,0.3438,0.5596000000000001,0.046600000000000065,1.0694,-0.07160000000000011,0.17004000000000002,0.35331999999999997,1.557,1.142,0.415,7.272,8.225
2026-09-12,Barnet,Accrington Stanley,home,2.019,1.039,2.41,0.69,2,1,0.391,-0.349,0.12183333333333335,0.22833333333333336,0.8618,0.36319999999999997,0.027800000000000047,-1.2107999999999999,0.14633333333333337,0.0926333333333333,2.422,2.012,0.41,9.694,10.237
2026-08-15,Bristol Rvs,York,away,1.095,1.412,1.83,1.93,2,3,0.7350000000000001,0.518,0.7350000000000001,0.518,0.5871999999999998,-0.18,0.915,-0.06919999999999982,0.915,-0.06919999999999982,1.334,1.142,0.192,1.334,1.142
2026-08-22,Bristol Rvs,Newport County,home,1.829,0.94,3.99,0.66,5,3,2.1610000000000005,-0.2799999999999999,1.4480000000000004,0.11900000000000005,0.01980000000000006,-0.6042,2.7652000000000005,-0.29979999999999996,1.8401000000000003,-0.1844999999999999,2.803,1.975,0.828,4.137,3.117
